BN/Registration Number	Charity Name	Charity Status	Effective Date of Status	Sanction	Designation code	Category code	Address	City	Province	Country	Postal Code/Zip Code	
864322920RR0001	Influence LD	Registered	2000-09-15		C	20	1587 CORMACK CRESCENT	MISSISSAUGA	ON	CA	L5E2P8	
859549024RR0001	International Alzheimer's Organization Corp.	Registered	2009-03-23		C	11	701-924 RATHBURN ROAD EAST	MISSISSAUGA	ON	CA	L4W4H5	
119293983RR0001	International Apostolic Ministries	Registered	1980-01-01		C	49	2000 ALDERMEAD RD.	MISSISSAUGA	ON	CA	L5M3A6	
838086510RR0001	International Bodhisattva Sangha of Canada	Registered	2010-11-29		C	35	PO BOX 21074                  MEADOWVALE POSTAL OUTLET	MISSISSAUGA	ON	CA	L5N6A2	
806548632RR0001	International Islamic Propagation Centre Canada	Registered	2016-01-01		C	60	201-7045 EDWARDS BOULEVARD	MISSISSAUGA	ON	CA	L5S1X2	
842271462RR0001	International Revival Church, Toronto	Registered	2010-01-01		C	39	5605 TAW AVENUE	MISSISSAUGA	ON	CA	L5V1W4	
842032252RR0001	International Sion Fellowship Ministries	Registered	2012-01-03		C	39	2338 CREDIT VALLEY ROAD	MISSISSAUGA	ON	CA	L5M4C9	
845316108RR0001	Ishan Forever Young Foundation	Registered	2012-03-28		A	03	1584 WILLOW WAY	MISSISSAUGA	ON	CA	L5M3W7	
709877690RR0001	Islamic Centers Trust (ICT)	Registered	2017-06-13		C	43	2200 SOUTH SHERIDAN WAY       SUITE# 223	MISSISSAUGA	ON	CA	L5J2M4	
821196748RR0001	ICARE OPHTHALMIC FOUNDATION	Registered	2006-07-06		C	11	1880 SISMET ROAD	MISSISSAUGA	ON	CA	L4W1W9	
807061668RR0001	ICKAT Charitable Foundation	Registered	2010-06-18		A	03	2383 SPEYSIDE DR	MISSISSAUGA	ON	CA	L5K1X5	
854339074RR0001	IGLESIA DE DIOS (ISRAELITA)	Registered	2005-01-01		C	39	35 - 5160 EXPLORER DR	MISSISSAUGA	ON	CA	L4W4T7	
859329674RR0001	IGLESIA HISPANA DEL NAZARENO BETHEL	Registered	2004-06-17		C	39	3657 PONYTRAIL DRIVE	MISSISSAUGA	ON	CA	L4X1W5	
858847486RR0001	IGLESIA PENTECOSTAL EL EXODO	Registered	2002-09-20		C	39	3846 MORNING STAR DR	MISSISSAUGA	ON	CA	L4T1Y9	
137408209RR0001	IMAM ALI ISLAMIC CENTRE	Registered	1992-06-19		B	60	880 GANA COURT	MISSISSAUGA	ON	CA	L5S1N8	
107437352RR0001	IMPACT MINISTRY GROUP CHURCH PLANTING INC.	Registered	1972-06-19		C	39	57 QUEEN ST S	MISSISSAUGA	ON	CA	L5M1K5	
892533167RR0001	INDO CANADIAN CULTURAL CLUB	Registered	1991-01-01		C	22	5204 TIFFANY CRT	MISSISSAUGA	ON	CA	L5M5G9	
865807739RR0001	INDONESIAN FULL GOSPEL FELLOWSHIP TORONTO	Registered	2001-01-01		C	39	437 REVUS AVE	MISSISSAUGA	ON	CA	L5G1S2	
878986306RR0001	INDONESIAN REFORMED EVANGELICAL CHURCH IN TORONTO	Registered	2003-10-23		C	39	55-57, 3065 RIDGEWAY DR	MISSISSAUGA	ON	CA	L5L5M6	
107505810RR0001	INDUS COMMUNITY SERVICES	Registered	1994-04-01		C	59	206-3038 HURONTARIO ST	MISSISSAUGA	ON	CA	L5B3B9	
848163523RR0001	INSIDE THE DREAM FORMAL ATTIRE PROGRAM	Registered	2006-11-17		C	21	35 - 5160 EXPLORER DR	MISSISSAUGA	ON	CA	L4W4T7	
107510059RR0001	INTERIM PLACE	Registered	1980-01-01		C	01	P.O. BOX 45070	MISSISSAUGA	ON	CA	L5G1C9	
824679542RR0001	INTERNATIONAL BIBLE BAPTIST CHURCH CANADA INC.	Registered	2005-10-22		C	31	A - 6520 GLEN ERIN DR	MISSISSAUGA	ON	CA	L5N3S3	
136720273RR0001	INTERNATIONAL BUDDHIST PROGRESS SOCIETY OF TORONTO	Registered	1993-06-14		C	35	6525 MILLCREEK DRIVE	MISSISSAUGA	ON	CA	L5N7K6	
863251336RR0001	INTERNATIONAL HOUSE OF PRAYER AND EVANGELISM	Registered	2002-01-01		C	47	1350 SWEET BIRCH COURT	MISSISSAUGA	ON	CA	L5C3R3	
873661268RR0001	INTRADA BRASS	Registered	1998-07-31		C	22	1805 MEDALLION COURT	MISSISSAUGA	ON	CA	L5J2L6	
878808567RR0001	IQRA ISLAMIC SCHOOL	Registered	1997-09-01		C	20	5751 COOPERS AVE	MISSISSAUGA	ON	CA	L4Z1R9	
890445745RR0001	ISLAMIC KHER KHWAHI GROUP INC.	Registered	1998-02-15		C	60	205 NORTH SERVICE ROAD	MISSISSAUGA	ON	CA	L5A1A4	
886810191RR0001	ISLAMIC PROPAGATION CENTRE OF ONTARIO INC	Registered	1982-03-29		C	60	5761 COOPERS AVE.,            BLDG.6	MISSISSAUGA	ON	CA	L4Z1R9	
118971886RR0001	ISLAMIC SOCIETY OF NORTH AMERICA - Canada (ISNA - Canada)	Registered	1983-01-01		C	60	2200 SOUTH SHERIDAN WAY	MISSISSAUGA	ON	CA	L5J2M4	
892613662RR0001	ISNA SCHOOL BOARD (ISB)	Registered	1996-09-01		C	21	1525 SHERWAY DRIVE	MISSISSAUGA	ON	CA	L4X1C5	
871870135RR0001	ISTIQAMAH ISLAMIC CENTRE OF ONTARIO	Registered	1999-01-01		C	60	3-3410 SEMENYK CRT	MISSISSAUGA	ON	CA	L5C4P9	
863711461RR0001	IZUNOME ASSOCIATION, CANADA	Registered	2002-07-12		C	49	2103 - 620 LOLITA GDNS	MISSISSAUGA	ON	CA	L5A3K7	
814420238RR0001	Jhamtse Canada	Registered	2015-01-01		C	09	1353 MILTON AVENUE	MISSISSAUGA	ON	CA	L5G3C5	
810290965RR0001	Jiu Xuan Ba De Xiu Zhen Chan Yuan Temple	Registered	2016-08-05		C	35	5 - 1680 COURTNEYPARK DR E	MISSISSAUGA	ON	CA	L5T1R4	
817036163RR0001	John Brown Heritage Foundation	Registered	2015-07-17		C	52	1 - 125 TRADERS BLVD E	MISSISSAUGA	ON	CA	L4Z2H3	
802658534RR0001	Just Energy Foundation Canada	Registered	2013-08-14		B	03	6345 DIXIE ROAD               SUITE 200	MISSISSAUGA	ON	CA	L5T2E6	
137152815RR0001	JAMAT-E-ISLAHUL MUSLEMIN OF MISSISSAUGA	Registered	1989-04-01		C	60	983 MISSISSAUGA HEIGHTS DR	MISSISSAUGA	ON	CA	L5C4S4	
889166955RR0001	JAMIA ISLAMIA CANADA LTD.	Registered	1994-01-05		C	60	2380 TEDLO ST	MISSISSAUGA	ON	CA	L5A3V3	
118973577RR0001	JELLINEK MEMORIAL FUND	Registered	1967-01-01		B	53	1091 WESTMOUNT AVENUE	MISSISSAUGA	ON	CA	L5E1X6	
890180490RR0001	JERRAHI SUFI ORDER OF CANADA	Registered	1999-01-01		C	60	55-4950 ALBINA WAY	MISSISSAUGA	ON	CA	L4Z4J4	
837061969RR0001	JESUS REIGNS MINISTRIES - PEEL REGION	Registered	2006-10-23		C	39	1575 TRINITY DR               UNIT 5	MISSISSAUGA	ON	CA	L5T1K4	
118974096RR0001	JEWELS FOR JESUS ADOPTION AGENCY INCORPORATED	Registered	1983-04-01		C	09	6655 KITIMAT RD.              UNIT 5	MISSISSAUGA	ON	CA	L5N6J2	
118974104RR0001	JEWELS FOR JESUS MISSION INC.	Registered	1986-07-27		C	09	5-6655 KITIMAT RD	MISSISSAUGA	ON	CA	L5N6J4	
889811394RR0001	JOHN ZDUNIC CHARITABLE FOUNDATION	Registered	1988-04-22		B	23	5135 TOMKEN RD	MISSISSAUGA	ON	CA	L4W1P1	
885286906RR0001	JOSHUA CREEK CHURCH	Registered	1994-03-07		C	39	3109 OSBOURNE RD	MISSISSAUGA	ON	CA	L5L3W4	
800957524RR0001	KoogiTV	Registered	2016-01-19		C	47	200 - 4 ROBERT SPECK PKY	MISSISSAUGA	ON	CA	L4Z1S1	
802852582RR0001	Korean Ban Suk Presbyterian Church of Toronto	Registered	2016-03-28		C	37	3177 SUNNYHILL DR.	MISSISSAUGA	ON	CA	L4X2K5	
119288918RR1469	Korean Congregation of Jehovah's Witnesses, Mississauga, Ontario	Registered	2008-09-16		C	61	3049 TURBINE CRES	MISSISSAUGA	ON	CA	L5M6W1	
860310663RR0001	KABALIKAT SA ONTARIO CHRISTIAN FELLOWSHIP	Registered	2006-02-01		C	49	3837 BRINWOOD GATE	MISSISSAUGA	ON	CA	L5M7H3	
888226925RR0001	KALAYAAN CULTURAL COMMUNITY CENTRE	Registered	2000-09-17		C	56	5225 ORBITOR DR UNIT 3	MISSISSAUGA	ON	CA	L4W4Y8	
892382169RR0001	KATEDRA FOUNDATION/FONDATION KATEDRA	Registered	1990-09-01		A	23	1 - 125 TRADERS BLVD E	MISSISSAUGA	ON	CA	L4Z2H3	
132743766RR0001	KEAN & COMPANY INC	Registered	1984-11-29		C	49	5170A TIMBERLEA BLVD.	MISSISSAUGA	ON	CA	L4W2S5	
118979343RR0001	KENMUIR BAPTIST CHURCH	Registered	1967-01-01		C	31	1640 CARMEN DR	MISSISSAUGA	ON	CA	L5G3Z1	
132902677RR0001	KINGDOM COVENANT INTERNATIONAL	Registered	1995-01-01		C	39	1224 DUNDAS ST E UNIT 20	MISSISSAUGA	ON	CA	L4Y4A2	
890332448RR0001	KINGDOM COVENANT MINISTRIES	Registered	1989-10-01		C	39	1224 DUNDAS STREET E. UNIT 20	MISSISSAUGA	ON	CA	L4Y4A2	
892032640RR0001	KINGDOM GLORY MINISTRIES	Registered	1995-01-01		C	39	1261 NORTH SHERIDAN WAY	MISSISSAUGA	ON	CA	L5H2A3	
870501970RR0001	KINGDOM LIFE MINISTRIES INC.	Registered	2000-01-01		C	39	1166 CARDIFF BOULEVARD	MISSISSAUGA	ON	CA	L5S1P7	
890777352RR0001	KINSMAN REDEEMER MINISTRIES INC	Registered	1996-02-01		C	36	402 DERRYDALE DR	MISSISSAUGA	ON	CA	L5W0E1	
118984202RR0001	KIWANIS CLUB OF THE KINGSWAY CHARITABLE FOUNDATION	Registered	1969-05-21		A	63	102 - 2576 MATHESON BLVD E	MISSISSAUGA	ON	CA	L4W5H1	
828383745RR0001	KNIGHTS 12372 CHARITABLE FOUNDATION	Registered	2006-07-01		A	03	1171 CLARKSON ROAD NORTH	MISSISSAUGA	ON	CA	L5J2W1	
876650425RR0001	KNIGHTS 5523 COMMUNITY CHARITIES FOUNDATION	Registered	1998-09-14		A	03	4048 GARNETWOOD CHASE	MISSISSAUGA	ON	CA	L4W2G8	
892455965RR0001	KOREAN PRESBYTERIAN CHURCH OF LOVE	Registered	1992-08-20		C	37	1333 BLOOR ST. #804	MISSISSAUGA	ON	CA	L4Y3T6	
119288918RR0939	KRAKOW POLISH CONGREGATION OF JEHOVAH'S WITNESSES	Registered	1993-09-01		C	61	4351 DIXIE ROAD	MISSISSAUGA	ON	CA	L4W1M9	
811673128RR0001	La Iglesia Del Camino The Church Of The Way	Registered	2017-01-28		C	39	137-425 RATHBURN RD EAST,	MISSISSAUGA	ON	CA	L4Z1H6	
836958702RR0001	Ladies in Transition Empowered (Lite) Corp.	Registered	2012-03-26		C	01	3472 BEAU RIVAGE CRES,	MISSISSAUGA	ON	CA	L5L5H6	
850642794RR0001	Lakeshore Corridor Community Team Inc.	Registered	2008-07-09		C	09	110 LAKESHORE RD E	MISSISSAUGA	ON	CA	L5G1E3	
119010379RR0001	Learning Disabilities Association of Peel Region	Registered	1994-01-29		C	11	26-5155 SPECTRUM WAY	MISSISSAUGA	ON	CA	L4W5A1	
800991093RR0001	Les Terebinthes de la Justice	Registered	2009-07-10		C	39	3188 WORLD SERIES CRT	MISSISSAUGA	ON	CA	L5N7N8	
899047906RR0001	Life Fountain Ministries Inc.	Registered	2004-01-05		C	39	8 - 1606 SEDLESCOMB DR	MISSISSAUGA	ON	CA	L4X1M6	
822868535RR0001	Life Lifter Ministries	Registered	2013-09-27		C	49	118-1001 CEDARGLEN GATE	MISSISSAUGA	ON	CA	L5C4R2	
843728643RR0001	Life One80 Church	Registered	2013-01-01		C	39	4006 COACHMAN CIR	MISSISSAUGA	ON	CA	L5M6P8	
812346708RR0001	LifeHouse Church	Registered	2010-01-01		C	39	126 - 6555 FALCONER DR	MISSISSAUGA	ON	CA	L5N3N6	
107910259RR0062	Lithuanian Martyrs Parish	Registered	1967-01-01		C	38	494 ISABELLA AVENUE	MISSISSAUGA	ON	CA	L5B2G2	
817703739RR0001	Living Grace Christian Community	Registered	2015-06-08		C	39	3852 BRINWOOD GATE	MISSISSAUGA	ON	CA	L5M7H2	
817785868RR0001	Love and Life Ministry	Registered	2012-05-15		C	39	3041 JAGUAR VALLEY DR #303	MISSISSAUGA	ON	CA	L5A2H9	
734709090RR0001	Love Those Seniors & More Association	Registered	2017-08-03		C	54	2564 CONSTABLE ROAD	MISSISSAUGA	ON	CA	L5J1W2	
806960159RR0001	Lumen Veritatis Academy	Registered	2008-09-26		C	20	225 BROADWAY STREET	MISSISSAUGA	ON	CA	L5M1J1	
107581308RR0001	LABOUR COMMUNITY SERVICES OF PEEL INC.	Registered	1979-12-18		C	59	403-989 DERRY RD E	MISSISSAUGA	ON	CA	L5T2J8	
862352754RR0001	LAKESHORE COMMUNITY OUTREACH CENTRE INC.	Registered	2003-04-14		C	09	310 LAKESHORE ROAD WEST	MISSISSAUGA	ON	CA	L5H1G8	
890340573RR0001	LAM OAK TAI CHARITABLE FUND	Registered	1990-01-01		B	05	5337 SWIFTCURRENT TRAIL	MISSISSAUGA	ON	CA	L5R2H6	
878740315RR0001	LIGHT OF JESUS COMMUNITY - CANADA INC.	Registered	2002-01-01		C	49	44-520 NOVO STAR DR	MISSISSAUGA	ON	CA	L5W1X7	
108086810RR0001	LIGHT PRESBYTERIAN CHURCH	Registered	1984-01-01		C	37	6965 PROFESSIONAL COURT	MISSISSAUGA	ON	CA	L4V1Y3	
869710319RR0001	LIGHTHOUSE TABERNACLE CHURCH	Registered	2002-02-19		C	45	3692 WATERFALL CRES	MISSISSAUGA	ON	CA	L5N8G8	
128786316RR0001	LION BOB MCALLISTER CHARITABLE CORPORATION	Registered	1992-01-01		C	09	20 STRATHAVEN DR	MISSISSAUGA	ON	CA	L5R3R9	
897927935RR0001	LIVING CHURCH OF GOD	Registered	1995-01-01		C	39	PO BOX 409	MISSISSAUGA	ON	CA	L5M0P6	
887001485RR0001	LOGOS BAPTIST CHURCH (MISSISSAUGA)	Registered	1994-01-01		C	31	6955 MILLCREEK DR	MISSISSAUGA	ON	CA	L5N5Z6	
107640724RR0001	LOGOS CHRISTIAN FAMILY CHURCH	Registered	1979-11-14		C	36	3535 DIXIE RD	MISSISSAUGA	ON	CA	L4Y2B3	
873461040RR0001	LYMPHOMA FOUNDATION CANADA	Registered	1998-02-06		C	13	6860 CENTURY AVENUE, SUITE 202	MISSISSAUGA	ON	CA	L5N2W5	
802865758RR0001	Macedonian Orthodox Church-American Canadian Macedonian Orthodox Diocese	Registered	2011-01-01		C	39	35 - 5160 EXPLORER DR	MISSISSAUGA	ON	CA	L4W4T7	
801415332RR0001	Madaniyya Academy	Registered	2016-01-01		C	20	3042 MERRITT AVENUE	MISSISSAUGA	ON	CA	L4T1P1	
844925032RR0001	Madina Seminary	Registered	2016-08-01		C	60	2380 SPEAKMAN DR	MISSISSAUGA	ON	CA	L5K1B4	
894097062RR0001	Magellan Aerospace, Mississauga Employees' Welfare Service Fund	Registered	1967-01-01		C	75	3160 DERRY ROAD EAST	MISSISSAUGA	ON	CA	L4T1A9	
742341092RR0001	Maple Leaf Centre for Action on Food Security	Registered	2017-04-17		B	09	6985 FINANCIAL DR	MISSISSAUGA	ON	CA	L5N0A1	
811112010RR0001	Mary Johnston Foundation Canada Inc.	Registered	2009-12-17		C	59	31 CALLISTO COURT	MISSISSAUGA	ON	CA	L5M0A1	
834055204RR0001	Maryan the Divine Mercy Foundation	Registered	2011-01-01		B	05	3612 STEEPLE CHASE CRESCENT	MISSISSAUGA	ON	CA	L5M0J8	
841345838RR0001	Mater Boni Consilii Academy Incorporated	Registered	2013-12-09		C	20	5296 FORESTWALK CIR	MISSISSAUGA	ON	CA	L4Z4A1	
845709666RR0001	Men and Women of Faith Miracle Ministries (MWFMM)	Registered	2011-06-29		C	39	4 - 1312 BRITANNIA RD E	MISSISSAUGA	ON	CA	L4W1C8	
841226897RR0001	Minh Chau Charity Fund	Registered	2008-09-30		B	03	114 - 1055 CANADIAN PLACE	MISSISSAUGA	ON	CA	L4W0C2	
834307019RR0001	Missionary Sisters of Christ the King for Polonia	Registered	2009-01-01		C	46	3232 FIELDGATE DRIVE	MISSISSAUGA	ON	CA	L4X2H7	
107685786RR0001	Mississauga Christian Academy & Daycare	Registered	2011-07-01		C	20	2720 GANANOQUE DR	MISSISSAUGA	ON	CA	L5N2R2	
812043693RR0001	Mississauga Church of Christ	Registered	2009-03-08		C	39	9 RAPALLO MEWS	MISSISSAUGA	ON	CA	L5N1K8	
821703543RR0001	Mississauga Grace Missionary Baptist Church	Registered	2007-01-01		C	39	7-3600B LAIRD RD	MISSISSAUGA	ON	CA	L5L6A7	
815016043RR0001	Mississauga Lakeshore Rotary Club Foundation	Registered	2015-07-01		A	03	2000 THE COLLEGEWAY           UNIT 13	MISSISSAUGA	ON	CA	L5L5Y9	
863170320RR0001	Mississauga Mandarin Association	Registered	2016-02-19		C	09	1 - 4020A SLADEVIEW CRES	MISSISSAUGA	ON	CA	L5L6B1	
850134305RR0001	Mississauga Multicultural Christian Outreach	Registered	2013-03-05		B	47	1512 - 2170 SHEROBEE ROAD	MISSISSAUGA	ON	CA	L5A3P8	
811256379RR0001	Moksh Dwar Hindu Cremation Services	Registered	2017-05-12		C	50	1190 MID-WAY BLVD             UNIT 13	MISSISSAUGA	ON	CA	L5T2B9	
827961772RR0001	Monks Family Charitable Trust	Registered	2014-01-01		B	05	4048 WOODCHUCK LANE	MISSISSAUGA	ON	CA	L5L2T5	
802504936RR0001	Morguard Foundation / Fondation Morguard	Registered	2013-08-16		B	03	55 CITY CENTRE DRIVE          SUITE 1000	MISSISSAUGA	ON	CA	L5B1M3	
820345734RR0001	Mukti Volunteer Village	Registered	2014-03-18		C	20	66 - 2555 THOMAS ST	MISSISSAUGA	ON	CA	L5M5P6	
822241766RR0001	Musicians' Dream Aid	Registered	2015-08-08		C	21	2452 RATHLIN CRT	MISSISSAUGA	ON	CA	L5K2S4	
802570507RR0001	Muslim Neighbour Nexus	Registered	2012-11-09		C	60	5442 ROSE RIDGE CRESCENT	MISSISSAUGA	ON	CA	L5M7C3	
787689520RR0001	My School Rocks	Registered	2017-02-16		C	21	3939 SELKIRK PLACE	MISSISSAUGA	ON	CA	L5L3L5	
800851370RR0001	Myhal Family Foundation	Registered	2014-08-20		B	03	201 - 2600 SKYMARK AVE	MISSISSAUGA	ON	CA	L4W5B2	
107652216RR0001	MACEDONIAN ORTHODOX CATHEDRAL CONGREGATION ST. CLEMENT OF OHRID, TORONTO, CANADA	Registered	1967-01-01		C	39	35 - 5160 EXPLORER DR	MISSISSAUGA	ON	CA	L4W4T7	
804439362RR0001	MALTON BAPTIST CHURCH	Registered	1967-01-01		C	31	7205 GOREWAY DRIVE            PO BOX 59047	MISSISSAUGA	ON	CA	L4T2T9	
119029700RR0001	MALTON BIBLE CHAPEL	Registered	1984-01-01		C	39	3093 CHURCHILL AVE	MISSISSAUGA	ON	CA	L4T1R6	
889295440RR0001	MALTON BLACK DEVELOPMENT ASSOCIATION	Registered	1979-10-31		C	09	7454 AIRPORT ROAD             SUITE 12	MISSISSAUGA	ON	CA	L5T2H5	
119029726RR0001	MALTON ISLAMIC ASSOCIATION	Registered	1982-05-31		C	60	6836 PROFESSIONAL COURT	MISSISSAUGA	ON	CA	L4V1X6	
119029759RR0001	MALTON NEIGHBOURHOOD SERVICES	Registered	1978-04-01		C	59	3540 MORNING STAR DR	MISSISSAUGA	ON	CA	L4T1Y2	
119288918RR0529	MALTON ONTARIO CONGREGATION OF JEHOVAH'S WITNESSES	Registered	1981-01-01		C	61	223 - 7170 DARCEL AVE	MISSISSAUGA	ON	CA	L4T3T5	
880913314RR0001	MAR ELIAS EASTERN ORTHODOX CHURCH ORGANIZATION OF ONTARIO	Registered	2003-08-07		C	39	5878 GREENSBORO DR	MISSISSAUGA	ON	CA	L5M5S7	
119032803RR0001	MAR GREGORIOS ASRAM CHARITABLE ASSOCIATION	Registered	1987-01-01		C	03	2541 PALISANDER AVENUE	MISSISSAUGA	ON	CA	L5B2L1	
135528495RR0001	MARIE CURIE SKLODOWSKA ASSOCIATION	Registered	1980-05-01		A	05	1892 BEECHKNOLL AVENUE	MISSISSAUGA	ON	CA	L4W2G3	
863841995RR0001	MARY KAY ASH CHARITABLE FOUNDATION - CANADA	Registered	2001-01-01		C	09	2020 MEADOWVALE BLVD	MISSISSAUGA	ON	CA	L5N6Y2	
836617365RR0001	MARY LYNN HIGGINS YOUTH FUND	Registered	2007-03-24		C	21	PO BOX 41061 RPO ROCKWOOD MALL	MISSISSAUGA	ON	CA	L4W5C9	
119034478RR0001	MASJID-E FAROOQ-E AZAM MISSISSAUGA	Registered	1988-04-18		C	39	4504 HEATHGATE CRESCENT	MISSISSAUGA	ON	CA	L5R2C4	
118986801RR0001	MAXIMILIAN KOLBE FOUNDATION (MISSISSAUGA)	Registered	1982-12-03		C	56	4300 CAWTHRA ROAD	MISSISSAUGA	ON	CA	L4Z1V8	
806232070RR0001	MEADOW GREEN ACADEMY SCHOLARSHIP FOUNDATION	Registered	2008-02-22		C	23	649 QUEENSWAY WEST	MISSISSAUGA	ON	CA	L5B1C2	
889462065RR0001	MEADOWEST PRESCHOOL INC	Registered	1996-07-01		C	20	9 - 6975 MEADOWVALE TOWN      CENTRE CIRCLE, SUITE 110	MISSISSAUGA	ON	CA	L5N2V7	
130558737RR0001	MEADOWVALE BIBLE BAPTIST CHURCH	Registered	1986-01-01		C	31	2720 GANANOQUE DRIVE	MISSISSAUGA	ON	CA	L5N2R2	
119288918RR0520	MEADOWVALE CONGREGATION OF JEHOVAH'S WITNESSES TORONTO ONTARIO	Registered	1980-05-01		C	61	3391 JUNEBERRY ROAD	MISSISSAUGA	ON	CA	L5N7E8	
865654917RR0001	MEADOWVALE FIRST BAPTIST CHURCH	Registered	2002-12-04		C	39	2720 GANANOQUE DRIVE	MISSISSAUGA	ON	CA	L5N2R2	
861881670RR0001	MEADOWVALE ISLAMIC CENTRE INC.	Registered	2005-05-09		C	60	6508 WINSTON CHURCHILL BLVD	MISSISSAUGA	ON	CA	L5N3W4	
107797383RR0071	MEADOWVALE SEVENTH-DAY ADVENTIST CHURCH	Registered	1986-01-01		C	41	5920 MONTEVIDEO ROAD	MISSISSAUGA	ON	CA	L5N3J5	
123898389RR0001	MEADOWVALE THEATRE	Registered	1987-09-04		C	22	6124 WABUKAYNE CRT	MISSISSAUGA	ON	CA	L5N2B2	
107685885RR0001	MEADOWVALE WEST CHURCH CENTRE	Registered	1989-03-04		C	39	6945 MEADOWVALE               TOWN CENTRE CIRCLE	MISSISSAUGA	ON	CA	L5N2W7	
107910259RR0238	MERCIFUL REDEEMER PARISH	Registered	1996-01-01		C	38	2775 ERIN CENTRE BLVD	MISSISSAUGA	ON	CA	L5M5W2	
891998817RR0001	METACOMMUNITY PRAYER MINISTRIES	Registered	2001-01-01		C	49	977 MEADOW WOOD RD	MISSISSAUGA	ON	CA	L5J2S8	
826140592RR0001	MHL Play-More Program	Registered	2015-06-12		C	09	14 - 3615 LAIRD RD	MISSISSAUGA	ON	CA	L5L5Z8	
136623378RR0001	MIAG CENTRE FOR DIVERSE WOMEN & FAMILIES	Registered	2009-08-21		C	59	3034 PALSTAN RD               SUITE M3	MISSISSAUGA	ON	CA	L4Y2Z6	
892572173RR0001	MIDDLE EAST BAPTIST CHURCH	Registered	1992-11-17		C	39	3066 GIVEN ROAD	MISSISSAUGA	ON	CA	L5A2N3	
140650748RR0001	MIRAJ MISSISSAUGA ISLAMIC REGION AL-JAMAAT	Registered	1995-03-07		C	60	215 - 2550 ARGENTIA RD	MISSISSAUGA	ON	CA	L5N5R1	
807544945RR0001	MISSING LINK CANCER RESEARCH FOUNDATION	Registered	2006-02-14		A	13	2600 SKYMARK AVE              BUILDING #10, SUITE 102	MISSISSAUGA	ON	CA	L4W5B2	
131275711RR0001	MISSISSAUGA ARTS COUNCIL	Registered	1983-01-01		C	22	1055 - 300 CITY CENTRE DRIVE	MISSISSAUGA	ON	CA	L5B3C9	
861098861RR0001	MISSISSAUGA BOARD OF CHINESE PROFESSIONALS & BUSINESSES (CPB) FOUNDATION	Registered	2002-07-04		A	53	1675 THE CHASE                UNIT 22	MISSISSAUGA	ON	CA	L5M5Y7	
895394286RR0001	MISSISSAUGA CARMEL MANDARIN ALLIANCE CHURCH OF THE CHRISTIAN AND MISSIONARY ALLIANCE IN CANADA	Registered	1993-02-12		C	39	5725 TERRY FOX WAY	MISSISSAUGA	ON	CA	L5V3E3	
133889519RR0001	MISSISSAUGA CHILDREN'S CHOIR	Registered	1983-07-22		C	22	4094 TOMKEN ROAD	MISSISSAUGA	ON	CA	L4W1J5	
131981615RR0001	MISSISSAUGA CHINESE ALLIANCE CHURCH	Registered	1989-01-06		C	39	5710 KENNEDY ROAD	MISSISSAUGA	ON	CA	L4Z1T1	
107707259RR0001	MISSISSAUGA CHINESE BAPTIST CHURCH	Registered	1986-06-05		C	31	5220 CREEKBANK ROAD	MISSISSAUGA	ON	CA	L4W1X1	
138032081RR0001	MISSISSAUGA CHINESE EVANGELICAL MISSIONARY CHURCH	Registered	1988-01-01		C	39	4035 ERINDALE STATION RD	MISSISSAUGA	ON	CA	L5C3Z2	
891274342RR0001	MISSISSAUGA CHINESE PRESBYTERIAN CHURCH	Registered	1992-01-01		C	37	5230 RIVER FOREST COURT	MISSISSAUGA	ON	CA	L5V2C7	
894115690RR0001	MISSISSAUGA CHINESE UNITED CHURCH	Registered	1996-01-01		C	44	4094 TOMKEN RD	MISSISSAUGA	ON	CA	L4W1J5	
119043545RR0001	MISSISSAUGA CHORAL SOCIETY	Registered	1980-02-01		C	22	BOX 59505-321 LAKESHORE RD.   WEST	MISSISSAUGA	ON	CA	L5H1G1	
836653147RR0001	MISSISSAUGA CHRISTIAN FAMILY WORSHIP CENTRE	Registered	2007-01-01		C	39	7 - 5155 SPECTRUM WAY	MISSISSAUGA	ON	CA	L4W5A1	
808421671RR0001	MISSISSAUGA CITY BAPTIST CHURCH INC.	Registered	1970-01-01		C	31	3434 CAWTHRA RD	MISSISSAUGA	ON	CA	L5A2X7	
119043594RR0001	MISSISSAUGA COMMUNITY LEGAL SERVICES	Registered	1993-02-13		C	59	130 DUNDAS STREET E STE 501A	MISSISSAUGA	ON	CA	L5A3V8	
119043602RR0001	MISSISSAUGA CONCERT BAND INC.	Registered	1986-09-14		C	22	2967 WINDWOOD DRIVE	MISSISSAUGA	ON	CA	L5N1W5	
140851932RR0001	MISSISSAUGA FAMILY BAPTIST CHURCH	Registered	1992-02-02		C	31	16 FALCONER DRIVE             UNITS 1-3	MISSISSAUGA	ON	CA	L5N3M1	
815204250RR0001	MISSISSAUGA FESTIVAL CHOIR	Registered	1995-07-01		C	22	BOX 48007	MISSISSAUGA	ON	CA	L5A4G8	
889181129RR0001	MISSISSAUGA FESTIVAL YOUTH CHOIR	Registered	1999-09-01		C	22	2325 HURONTARIO STREET #174	MISSISSAUGA	ON	CA	L5A4K4	
107797383RR0105	MISSISSAUGA FILIPINO SEVENTH-DAY ADVENTIST CHURCH	Registered	2001-06-15		A	41	3389 NUTCRACKER DR	MISSISSAUGA	ON	CA	L5N6E6	
